Z,Do,Linia,Numer,Odlot,Przylot,Od,Do,Dni,Samolot,Operator,Typ
FRA,KRK,LH,1364,08:10,09:45,29-11-2024,20-12-2024,....5..,32A,LH,J
FRA,KRK,LH,1364,08:10,09:45,30-11-2024,21-12-2024,.....6.,32A,LH,J
FRA,KRK,LH,1364,08:10,09:45,03-12-2024,24-12-2024,.2.....,320,LH,J
FRA,KRK,LH,1364,08:10,09:45,08-12-2024,29-12-2024,......7,320,LH,J
FRA,KRK,LH,1364,08:10,09:45,30-12-2024,06-01-2025,1......,32A,LH,J
FRA,KRK,LH,1364,08:10,09:45,02-01-2025,02-01-2025,...4...,32A,LH,J
FRA,KRK,LH,1364,08:10,09:45,27-12-2024,03-01-2025,....5..,32A,LH,J
FRA,KRK,LH,1364,08:10,09:45,28-12-2024,04-01-2025,.....6.,32A,LH,J
FRA,KRK,LH,1364,08:10,09:45,07-01-2025,25-03-2025,.2.....,320,LH,J
FRA,KRK,LH,1364,08:10,09:45,12-01-2025,23-03-2025,......7,320,LH,J
FRA,KRK,LH,1364,08:10,09:45,13-01-2025,03-04-2025,1......,32A,LH,J
FRA,KRK,LH,1364,08:10,09:45,08-01-2025,01-04-2025,..3....,32A,LH,J
FRA,KRK,LH,1364,08:10,09:45,09-01-2025,31-03-2025,...4...,32A,LH,J
FRA,KRK,LH,1364,08:10,09:45,10-01-2025,30-03-2025,....5..,32A,LH,J
FRA,KRK,LH,1364,08:10,09:45,11-01-2025,29-03-2025,.....6.,32A,LH,J
FRA,KRK,LH,1366,10:35,12:10,02-12-2024,23-12-2024,1......,320,LH,J
FRA,KRK,LH,1366,10:35,12:10,03-12-2024,17-12-2024,.2.....,320,LH,J
FRA,KRK,LH,1366,10:35,12:10,04-12-2024,18-12-2024,..3....,320,LH,J
FRA,KRK,LH,1366,10:35,12:10,28-11-2024,19-12-2024,...4...,320,LH,J
FRA,KRK,LH,1366,10:35,12:10,29-11-2024,20-12-2024,....5..,320,LH,J
FRA,KRK,LH,1366,10:35,12:10,01-12-2024,22-12-2024,......7,320,LH,J
FRA,KRK,LH,1366,10:35,12:10,30-12-2024,06-01-2025,1......,320,LH,J
FRA,KRK,LH,1366,10:35,12:10,02-01-2025,02-01-2025,...4...,320,LH,J
FRA,KRK,LH,1366,10:35,12:10,27-12-2024,03-01-2025,....5..,320,LH,J
FRA,KRK,LH,1366,10:35,12:10,29-12-2024,05-01-2025,......7,320,LH,J
FRA,KRK,LH,1366,10:35,12:10,13-01-2025,01-04-2025,1......,320,LH,J
FRA,KRK,LH,1366,10:35,12:10,07-01-2025,31-03-2025,.2.....,320,LH,J
FRA,KRK,LH,1366,10:35,12:10,08-01-2025,30-03-2025,..3....,320,LH,J
FRA,KRK,LH,1366,10:35,12:10,09-01-2025,29-03-2025,...4...,320,LH,J
FRA,KRK,LH,1366,10:35,12:10,10-01-2025,28-03-2025,....5..,320,LH,J
FRA,KRK,LH,1366,10:35,12:10,12-01-2025,23-03-2025,......7,320,LH,J
FRA,KRK,LH,1368,15:55,17:30,02-12-2024,27-12-2024,1......,320,LH,J
FRA,KRK,LH,1368,15:55,17:30,03-12-2024,26-12-2024,.2.....,320,LH,J
FRA,KRK,LH,1368,15:55,17:30,04-12-2024,25-12-2024,..3....,320,LH,J
FRA,KRK,LH,1368,15:55,17:30,28-11-2024,19-12-2024,...4...,320,LH,J
FRA,KRK,LH,1368,15:55,17:30,29-11-2024,20-12-2024,....5..,320,LH,J
FRA,KRK,LH,1368,15:55,17:30,30-11-2024,21-12-2024,.....6.,320,LH,J
FRA,KRK,LH,1368,15:55,17:30,01-12-2024,22-12-2024,......7,320,LH,J
FRA,KRK,LH,1368,15:55,17:30,30-12-2024,03-04-2025,1......,320,LH,J
FRA,KRK,LH,1368,15:55,17:30,31-12-2024,02-04-2025,.2.....,320,LH,J
FRA,KRK,LH,1368,15:55,17:30,01-01-2025,01-04-2025,..3....,320,LH,J
FRA,KRK,LH,1368,15:55,17:30,02-01-2025,31-03-2025,...4...,320,LH,J
FRA,KRK,LH,1368,15:55,17:30,27-12-2024,30-03-2025,....5..,320,LH,J
FRA,KRK,LH,1368,15:55,17:30,28-12-2024,29-03-2025,.....6.,320,LH,J
FRA,KRK,LH,1368,15:55,17:30,29-12-2024,23-03-2025,......7,320,LH,J
FRA,KRK,LH,1370,21:30,23:05,02-12-2024,23-12-2024,1......,32N,LH,J
FRA,KRK,LH,1370,21:30,23:05,03-12-2024,17-12-2024,.2.....,32N,LH,J
FRA,KRK,LH,1370,21:30,23:05,04-12-2024,18-12-2024,..3....,32N,LH,J
FRA,KRK,LH,1370,21:30,23:05,28-11-2024,19-12-2024,...4...,32N,LH,J
FRA,KRK,LH,1370,21:30,23:05,29-11-2024,20-12-2024,....5..,32N,LH,J
FRA,KRK,LH,1370,21:30,23:05,30-11-2024,21-12-2024,.....6.,32N,LH,J
FRA,KRK,LH,1370,21:30,23:05,01-12-2024,22-12-2024,......7,32N,LH,J
FRA,KRK,LH,1370,21:30,23:05,02-01-2025,02-01-2025,...4...,32N,LH,J
FRA,KRK,LH,1370,21:30,23:05,03-01-2025,03-01-2025,....5..,32N,LH,J
FRA,KRK,LH,1370,21:30,23:05,04-01-2025,04-01-2025,.....6.,32N,LH,J
FRA,KRK,LH,1370,21:30,23:05,05-01-2025,05-01-2025,......7,32N,LH,J
FRA,KRK,LH,1370,21:30,23:05,06-01-2025,03-04-2025,1......,32N,LH,J
FRA,KRK,LH,1370,21:30,23:05,07-01-2025,02-04-2025,.2.....,32N,LH,J
FRA,KRK,LH,1370,21:30,23:05,08-01-2025,01-04-2025,..3....,32N,LH,J
FRA,KRK,LH,1370,21:30,23:05,09-01-2025,31-03-2025,...4...,32N,LH,J
FRA,KRK,LH,1370,21:30,23:05,10-01-2025,30-03-2025,....5..,32N,LH,J
FRA,KRK,LH,1370,21:30,23:05,11-01-2025,29-03-2025,.....6.,32N,LH,J
FRA,KRK,LH,1370,21:30,23:05,12-01-2025,23-03-2025,......7,32N,LH,J
KRK,MUC,LH,1623,13:25,14:45,02-12-2024,03-04-2025,1......,319,LH,J
KRK,MUC,LH,1623,13:25,14:45,30-11-2024,29-03-2025,.....6.,319,LH,J
KRK,MUC,LH,1623,13:25,14:45,01-12-2024,23-03-2025,......7,319,LH,J
KRK,MUC,LH,1623,13:25,14:45,03-12-2024,27-03-2025,.2.....,32A,LH,J
KRK,MUC,LH,1623,13:25,14:45,04-12-2024,26-03-2025,..3....,32A,LH,J
KRK,MUC,LH,1625,17:20,18:40,03-12-2024,31-03-2025,.2.....,32A,LH,J
KRK,MUC,LH,1625,17:20,18:40,29-11-2024,28-03-2025,....5..,32A,LH,J
KRK,MUC,LH,1625,17:20,18:40,04-12-2024,26-03-2025,..3....,32A,LH,J
KRK,MUC,LH,1625,17:20,18:40,30-11-2024,22-03-2025,.....6.,32A,LH,J
KRK,MUC,LH,1627,06:00,07:20,28-11-2024,09-12-2024,...4...,32A,LH,J
KRK,MUC,LH,1627,06:00,07:20,29-11-2024,08-12-2024,....5..,32A,LH,J
KRK,MUC,LH,1627,06:00,07:20,30-11-2024,07-12-2024,.....6.,32A,LH,J
KRK,MUC,LH,1627,06:00,07:20,10-12-2024,19-12-2024,.2.....,319,LH,J
KRK,MUC,LH,1627,06:00,07:20,04-12-2024,18-12-2024,..3....,319,LH,J
KRK,MUC,LH,1627,06:00,07:20,13-12-2024,22-12-2024,....5..,32A,LH,J
KRK,MUC,LH,1627,06:00,07:20,14-12-2024,21-12-2024,.....6.,32A,LH,J
KRK,MUC,LH,1627,06:00,07:20,16-12-2024,06-01-2025,1......,32A,LH,J
KRK,MUC,LH,1627,06:00,07:20,22-12-2024,05-01-2025,......7,32A,LH,J
KRK,MUC,LH,1627,06:00,07:20,31-12-2024,09-01-2025,.2.....,319,LH,J
KRK,MUC,LH,1627,06:00,07:20,25-12-2024,08-01-2025,..3....,319,LH,J
KRK,MUC,LH,1627,06:00,07:20,26-12-2024,06-01-2025,...4...,32A,LH,J
KRK,MUC,LH,1627,06:00,07:20,27-12-2024,05-01-2025,....5..,32A,LH,J
KRK,MUC,LH,1627,06:00,07:20,28-12-2024,04-01-2025,.....6.,32A,LH,J
KRK,MUC,LH,1627,06:00,07:20,16-01-2025,27-01-2025,...4...,32A,LH,J
KRK,MUC,LH,1627,06:00,07:20,10-01-2025,26-01-2025,....5..,32A,LH,J
KRK,MUC,LH,1627,06:00,07:20,11-01-2025,25-01-2025,.....6.,32A,LH,J
KRK,MUC,LH,1627,06:00,07:20,21-01-2025,23-01-2025,.2.....,319,LH,J
KRK,MUC,LH,1627,06:00,07:20,15-01-2025,22-01-2025,..3....,319,LH,J
KRK,MUC,LH,1627,06:00,07:20,27-01-2025,17-02-2025,1......,32A,LH,J
KRK,MUC,LH,1627,06:00,07:20,02-02-2025,16-02-2025,......7,32A,LH,J
KRK,MUC,LH,1627,06:00,07:20,04-02-2025,20-02-2025,.2.....,319,LH,J
KRK,MUC,LH,1627,06:00,07:20,29-01-2025,19-02-2025,..3....,319,LH,J
KRK,MUC,LH,1627,06:00,07:20,31-01-2025,02-03-2025,....5..,32A,LH,J
KRK,MUC,LH,1627,06:00,07:20,01-02-2025,01-03-2025,.....6.,32A,LH,J
